leaid,grad_rate_midpt
0509390,85.57381867510739
0509420,89.82496194824961
0509480,95.62409638554217
0509510,84.98859315589354
0509540,88.02026500389712
0509570,92.47081712062257
0509600,86.33614864864865
0509630,83.16679841897233
0509720,93.29395604395604
0509750,91.03221884498481
0509780,88.55263157894737
0509840,90.68458953432548
0509990,89.1911196911197
0510080,90.83698296836982
0510170,73.45878136200716
0510200,95.05006765899866
0510260,81.20566502463055
0510290,88.58638743455496
0510320,87.57971014492753
0510380,94.35898787559304
0510410,91.4203233256351
0510440,91.46488095238095
0510560,88.816
0510680,75.96507772020726
0510920,87.75972540045767
0510950,84.29030006978367
0510980,89.86934673366835
0511010,92.11920103092784
0511070,89.62801204819277
0511130,90.85412541254125
0511220,91.87640449438203
0511340,88.22748815165878
0511370,90.54555680539933
0511610,88.79845814977973
0511700,91.9402390438247
0511730,93.41610738255034
0511760,88.97491821155944
0511820,86.9067405355494
0511850,78.07249554611485
0511880,89.71531791907513
0511970,87.06226426043057
0512000,87.95238095238096
0512060,87.51144206320379
0512090,95.16603773584905
0512180,90.63938618925832
0512210,85.12828146143437
0512420,86.16082474226805
0512450,89.4212141135218
0512480,88.441647597254
0512510,87.97854785478548
0512520,84.75028991109394
0512540,91.26510067114093
0512570,92.30340557275542
0512630,87.84656084656083
0512660,83.98440265031483
0512930,88.74406332453826
0512960,83.73024054982818
0513080,94.76060233558697
0513110,78.09238646482636
0513230,92.91310344827586
0513350,93.80365296803653
0513380,94.56159420289855
0513410,86.35980652207833
0513530,95.41224356887008
0513560,91.17801047120419
0513680,85.8706786171575
0513930,87.81399046104929
0514010,88.52839268527431
0514020,87.4211956521739
0514040,91.99009900990099
0514140,88.2081043956044
0514370,88.58757062146893
0514400,93.09222423146473
0514430,90.17946851110301
0514490,93.99458874458875
0600001,92.38793103448276
0600002,24
0600003,51.62900976290098
0600007,54.460992907801426
0600009,73.75555555555555
0600011,80.5674740484429
0600013,94.02757681504809
0600014,90.33632790567097
0600015,41.25194805194805
0600016,91.68853076285865
0600017,86.438355177877
0600018,85.98513011152417
0600019,93.98970972200891
0600020,95.44156128937944
0600022,75.51947731755425
0600025,95.59512476561373
0600026,87.55736040609136
0600027,87.18662235147487
0600028,91.92092914124825
0600029,94.49151038048932
0600032,93.35691915091057
0600033,92.48065376917944
