dist,children,predom_race,grad_rate_midpt,pct_pov,pct_SP,pct_HHVJ,pct_CC,pct_NCI,pct_CD,pct_CLI,pct_hisp_latino,pct_white,pct_black,pct_native,pct_asian
Oneonta City School District,1086,White,91.4979389942292,16.091,26.044,22.448,2.228,21.678,3.591,0,18.8,74.8,6.4,0,0
Opelika City School District,4712,Black,87.83168065090263,26.821,48.115,29.434,4.944,16.672,2.695,1.995,3,34.4,57.7,0,3.7
Opp City School District,1099,White,90.96315789473684,38.662,53.774,26.442,2.234,23.627,11.101,0,1,58.5,41,0,0
Oxford City School District,4513,White,93.6925853929464,20.116,32.084,30.57,1.961,9.682,8.908,1.595,10.6,67.1,18.6,0,1.5
Ozark City School District,2648,White,89.99030837004406,27.993,45.5,35.49,0.839,26.258,10.159,0,5,47.2,40.7,0,0.6
Pell City City School District,4402,White,88.51684698608965,16.454,32.542,28.383,0.839,13.708,6.997,0,2.5,85,10.6,0,1.4
Perry County School District,1555,Black,94.08798424162836,49.029,75.948,21.075,2.631,43.016,5.273,0,1.3,5.1,93.6,0,0
Phenix City City School District,6831,Black,90.23046581517656,32.278,52.236,26.644,3.52,20.331,6.324,4.948,9.2,31.5,48.9,0,0.8
Pickens County School District,2968,Black,92.95299145299144,29.354,43.18,25.561,1.222,20.415,10.276,1.011,1.2,34.6,61.7,0,0
Piedmont City School District,1007,White,94.64015904572564,27.863,42.722,28.173,1.647,15.317,5.164,0,6.1,69.5,14.2,0,0
Pike County School District,2211,White,86.46171911695632,27.023,41.71,27.052,1.568,32.227,5.654,0.678,2.2,51.4,39.8,1.9,0.8
Randolph County School District,2746,White,87.96938775510205,26.59,31.345,18.37,2.464,20.151,5.499,1.42,4.9,75.1,15.2,0,0
Roanoke City School District,878,White,95.14957264957263,32.088,50.069,25.387,4.167,2.676,1.708,0,7.5,46.3,38.1,0,0
Russell County School District,4300,White,79.23870364599563,26.864,35.02,27.738,2.19,18.033,6.767,0,6.2,44.8,37.9,0,1.5
Russellville City School District,2004,Hispanic/Latino,93.48816872427984,33.371,48.993,13.437,7.859,37.038,1.397,23.852,62.7,28.7,4.8,0,3.3
Scottsboro City School District,2186,White,87.09146608315098,21.835,18.762,27.824,2.394,5.944,7.228,0,3.6,86.5,6.5,0,2.7
Selma City School District,3430,Black,85.42898927526812,52.327,76.151,28.216,3.643,23.061,5.831,0.175,0,3,96.9,0,0
Sheffield City School District,1321,White,85.63827433628319,28.089,58.596,31.358,0,27.569,9.69,0,6.1,54.3,28.7,0.3,0
Shelby County School District,23163,White,92.6189384800965,7.884,21.234,29.183,1.147,9.789,4.861,0.756,7.6,73.5,13.7,0.1,1.5
St. Clair County School District,9781,White,87.13941053729786,12.572,26.447,30.724,0.917,12.901,4.918,0.256,5,81.5,8.2,1.2,0.5
Sumter County School District,1820,Black,82.30781938325991,52.591,56.442,26.099,1.288,21.094,5.44,5.385,0,5.1,87.4,0,7.2
Sylacauga City School District,2303,White,91.0770314701738,21.246,49.55,26.043,1.106,15.201,3.517,1.042,8.5,60.9,28.4,0.4,0
Talladega City School District,1857,Black,90.38928376161836,31.348,74.063,20.834,0.816,17.319,14.27,0,0.9,31.3,64.7,0,0.2
Talladega County School District,7836,White,92.44711471286853,22.119,37.921,26.505,1.538,20.526,5.539,0.715,1.5,60,33.4,0,0.1
Tallapoosa County School District,2942,White,89.46552282292004,29.49,38.228,20.86,1.841,23.27,2.855,0,0.1,69.1,30,0.1,0
Tallassee City School District,1851,White,86.45260115606936,19.83,36.266,20.083,3.77,19.906,4.916,0,9.8,69.6,17.7,0,0
Tarrant City School District,1057,Black,80.73620862587762,34.55,62.581,36.602,3.894,42.224,20.341,13.623,15.3,5,73.3,0,0
Thomasville City School District,851,Black,92.07334273624824,26.394,28.591,38.407,0.463,11.497,8.696,0,0,49,51,0,0
Troy City School District,2462,Black,90.48309932397297,30.821,50.142,35.446,1.538,25.806,10.561,6.621,0.8,31.2,54.4,0,4.8
Tuscaloosa City School District,12483,Black,87.46472258628222,25.311,46.114,29.691,1.375,16.6,3.853,3.333,5.3,29.1,62.3,0,1.8
Tuscaloosa County School District,18296,White,83.70458762556785,16.233,29.02,24.621,1.871,14.537,5.171,0.268,5.7,63.4,28.3,0.1,0.7
Tuscumbia City School District,1711,White,85.51017543859649,18.876,54.608,32.345,0,12.731,1.11,0,0,63.5,28.7,0,0.3
Vestavia Hills City School District,6989,White,93.81267056530214,3.433,16.362,23.912,0.497,2.296,4.679,1.645,3.3,85.2,4.5,0,5.6
Walker County School District,8034,White,89.78395144976399,23.156,32.26,31.089,2.046,20.458,11.75,1.058,3.1,88.4,6.1,0.1,0
Washington County School District,3087,White,88.33228070175439,24.13,47.171,23.474,3.096,33.216,10.463,0,1.7,55.4,32.4,8.9,0
Wilcox County School District,1976,Black,86.38989566172432,50.054,53.569,21.096,0.946,33.459,7.794,6.528,0,5,87.1,0,0
Winfield City School District,1258,White,92.9782393669634,26.347,25.557,28.636,0.95,6.173,4.531,1.51,2.5,95.9,0.8,0,0
Winston County School District,2295,White,85.77624521072796,24.426,28.992,25.452,1.318,22.267,9.76,0.871,0.9,88,0,0,0
Lower Kuskokwim School District,3844,Native American,51.19400428265524,37.503,35.458,19.835,34.399,16.902,1.483,4.006,5.2,4.6,0,85.6,0.4
Lower Yukon School District,1779,Native American,62.03066721922918,45.102,51.033,16.024,51.298,33.606,2.642,0.562,0.2,0.2,0,94.8,0
Yupiit School District,385,Native American,50.780952380952385,45.799,45.424,20.202,55.853,46.29,5.455,0,1,1,0,97.4,0
Kashunamiut School District,287,Native American,71.48275862068967,44.781,65.289,12.727,48.372,24.181,3.484,0,1.2,0,1.2,97,0
Aleutians East Borough School District,380,Native American,78.99497487437186,11.856,49.112,8.518,2.558,18.033,4.211,2.368,4.7,5.8,0,59.3,11.6
Aleutian Region School District,64,NA,NA,23.077,75,11.96,7.692,69.512,0,0,NA,NA,NA,NA,NA
Bering Strait School District,1661,Native American,80.70900055218111,29.634,54.262,16.485,39.664,25.584,2.649,0.783,0.2,2.4,0,93.2,0
Bristol Bay Borough School District,142,White,77.05128205128206,16.216,30.252,16.803,4.505,19.072,2.817,0,2.7,46.7,0,33.3,0
Alaska Gateway School District,450,Native American,49.1858407079646,23.077,40.152,23.235,10.526,25.198,19.778,1.778,0,23.4,0,53.2,22.3
Cordova City School District,448,NA,NA,5.172,0,28.872,2.894,2.817,5.357,0,NA,NA,NA,NA,NA
Copper River School District,418,White,71.3509234828496,11.688,10.112,24.293,4.906,8.171,5.024,0,6.8,59.5,1.1,16.2,0
Craig City School District,224,White,66.94202898550725,21.491,46.154,24.526,6.092,24.161,4.911,0,1.7,46.8,0,21.3,0
Delta/Greely School District,942,White,77.83171521035598,14.319,7.377,14.387,8.345,19.584,1.38,2.866,12.7,72.8,0,1.9,1.9
Dillingham City School District,434,Native American,68.39961759082219,23.026,46.177,20.372,14.286,5.6,5.53,0,11.9,10.7,0,57.1,1
Galena City School District,119,Native American,76.53431273898168,17.308,37.755,13.115,13.472,16.197,0,0,0,40.7,0,55.6,0
Ketchikan Gateway Borough School District,2230,White,77.329097283085,10.512,36.765,29.058,4.374,7.655,5.067,0.538,8.1,49.2,0,17.9,6.3
Anchorage School District,51254,White,77.97753050352294,10.737,31.889,28.705,4.518,6.562,4.8,1.647,12.6,43,6.3,8.6,10.7
Juneau Borough School District,5044,White,78.85317460317461,7.199,28.428,20.516,4.433,5.002,6.027,0.535,9.7,48.6,0.4,13.4,7.2
Sitka School District,1501,White,70.85583333333332,6.987,39.921,23.662,2.584,9.514,5.796,0.799,10.2,47.3,2,10.5,7.8
Haines Borough School District,399,White,81.12931034482759,14.03,29.558,31.603,7.895,4.839,6.015,0,14.1,57.7,0,7,7
Hoonah City School District,97,Native American,75,32.143,61.446,28.286,3.484,24.503,8.247,0,22.2,11.1,4.4,55.6,0
Hydaburg City School District,74,Native American,75,43.284,63.636,15.094,6.306,37.755,8.108,0,0,12.5,0,75,0
Kake City School District,94,Native American,75,16.129,22.222,12.903,12.139,9.836,6.383,0,3.6,9.1,0,59.1,3.6
Kenai Peninsula Borough School District,9601,White,81.98974114278897,13.189,27.246,27.871,4.457,13.122,5.26,0.656,5.2,73.1,0.2,8.1,1.9
Klawock City School District,133,White,71.03333333333333,24.324,41,30.226,7.541,40.976,8.271,0,8,36,0,32,0
Kodiak Island Borough School District,2493,White,87.50356012658227,8.505,24.62,21.954,9.124,6.678,5.816,4.934,9.8,43,0,16.1,25.3
Lake and Peninsula Borough School District,276,Native American,82.0204081632653,24.658,45.69,13.973,7.765,19.571,2.174,0.362,3.2,16.1,1.3,67.7,1.3
Matanuska-Susitna Borough School District,20534,White,79.34361842896668,10.114,22.036,27.84,5.049,6.899,4.889,0.502,6,71,1.4,6.4,1.7
Iditarod Area School District,182,Native American,55.83189655172414,27.876,66.242,16.129,14.127,23.333,7.143,0,10.3,2.1,0,76.9,0
Annette Island School District,377,Native American,82.64835164835165,22.909,39.146,17.037,5.417,16.279,6.631,0,12.9,4.3,0,74.3,0
Nenana City School District,83,NA,NA,20.588,66.216,25.17,5.517,26.786,4.819,0,NA,NA,NA,NA,NA
Nome School District,773,Native American,73.17383820998279,15.052,42.541,20.524,18.834,16.192,1.423,0,16.9,8.1,0.5,58.8,0
Fairbanks North Star Borough School District,16197,White,73.09852523098792,8.322,29.723,26.479,5.91,9.249,4.68,0.185,10.3,59.9,3.3,10.2,2.1
North Slope Borough School District,1722,Native American,67.7159090909091,14.247,46.242,8.948,31.79,14.326,2.904,1.045,1.6,5.7,0,70.8,5.5
Northwest Arctic Borough School District,1907,Native American,73.67058247674989,24.974,53.342,16.806,35.806,22.349,2.202,0.367,0.7,5.2,1,89.9,0
Pelican City School District,3,NA,NA,18.182,100,34.426,8.696,0,0,0,NA,NA,NA,NA,NA
Petersburg Borough School District,528,White,90.04683840749415,8.805,29.935,24.794,2.991,6.948,2.462,1.894,5.7,55.2,0.8,8.6,14.3
Pribilof School District,65,Native American,75,10.976,51.852,16.206,4.575,17.204,1.538,0,0,0,0,93.8,0
St. Marys City School District,168,Native American,74.50515463917526,41.892,53.289,23.618,35.329,5.085,3.571,0,0,0,0,94.6,0
Skagway School District,119,White,75,9.091,22.642,40.288,3.5,6.486,0,0,3.2,76,0,3.2,0
Southeast Island School District,242,White,79.8529411764706,11.439,19.324,20.327,4.316,17.836,0.413,0,11.4,63.6,0,9.1,1.8
