leaid,state,region,dist,children,pct_pov,pct_SP,SP_MOE,pct_HHVJ,HHVJ_MOE,pct_CC,CC_MOE,pct_NCI,nci_MOE,pct_CD,CD_MOE,pct_CLI,CLI_MOE
4210860,Pennsylvania,Northeast,Governor Mifflin School District,4722,8.190394192934036,32.55537152290344,8.5,27.868255972862244,3,0.7058093324303627,0.5,3.610164299607277,2.5,2.541295997798443,1.5,0.2541295951232314,0.5
4210870,Pennsylvania,Northeast,Great Valley School District,5313,5.09796068072319,22.833675146102905,4.5,24.281737208366394,2.5,0.2851153025403619,0.5,1.4469685964286327,1.5,4.686617851257324,2,1.693958230316639,1.5
4210920,Pennsylvania,Northeast,Greensburg Salem School District,3539,17.10391789674759,47.03608155250549,7.5,33.62354934215546,2.5,0.36617559380829334,0.5,11.14523932337761,4,6.1316754668951035,2,0.5368748214095831,1
4210950,Pennsylvania,Northeast,Greater Johnstown School District,3646,46.69811427593231,67.85596013069153,7,33.527132868766785,3.5,0.49085584469139576,0.5,12.364551424980164,4.5,16.346681118011475,4.5,0,0.5
4210980,Pennsylvania,Northeast,Greater Latrobe School District,4122,8.36869403719902,18.10183972120285,6,26.434966921806335,2.5,0.27408304158598185,0.5,5.024100840091705,3,5.846676230430603,2,0,0.5
4211010,Pennsylvania,Northeast,Greencastle-Antrim School District,3548,11.240419745445251,23.639661073684692,8.5,26.618996262550354,3.5,1.2543757446110249,1.5,11.996535211801529,5,5.580608919262886,2.5,0,0.5
4211160,Pennsylvania,Northeast,Greenville Area School District,1523,20.215827226638794,35.86800694465637,11,23.203691840171814,4,2.5531914085149765,2,14.022517204284668,8,2.8890347108244896,2,1.1818778701126575,2
4211190,Pennsylvania,Northeast,Greenwood School District,1005,9.480812400579453,25.32467544078827,5.5,21.24408930540085,3,0.8283479139208794,1,18.04451495409012,8,7.46268630027771,3,0,1.5
4211220,Pennsylvania,Northeast,Grove City Area School District,2229,14.716672897338867,34.37340259552002,7,29.992425441741943,3,1.0347751900553703,1,9.78446826338768,4.5,4.441453516483307,2.5,0,0.5
4211310,Pennsylvania,Northeast,Halifax Area School District,1177,10.141509771347046,23.040153086185455,7,27.975428104400635,5,0.2348993206396699,0.5,16.676773130893707,12.5,2.4638911709189415,2.5,0,1.5
4211340,Pennsylvania,Northeast,Hamburg Area School District,2564,10.21566390991211,31.436192989349365,8,28.55430841445923,2.5,0.6956038065254688,0.5,10.866983234882355,3.5,8.346334099769592,3.5,0,0.5
4211400,Pennsylvania,Northeast,Hampton Township School District,3092,3.3707864582538605,18.627451360225677,7.5,26.144489645957947,3.5,0.8232710883021355,1,2.273803949356079,2,0.8085381239652634,1,0,0.5
4211420,Pennsylvania,Northeast,Hanover Area School District,2278,25.531914830207825,46.68972194194794,8.5,30.31979501247406,3.5,0.408719340339303,0.5,11.528497189283371,5.5,9.657594561576843,3.5,1.2730465270578861,1.5
4211450,Pennsylvania,Northeast,Hanover Public School District,2272,16.915422677993774,50.795334577560425,8.5,31.39762580394745,3.5,1.9191918894648552,1,14.909197390079498,8,13.820423185825348,5,9.286972135305405,7.5
4211490,Pennsylvania,Northeast,Harbor Creek School District,2469,8.875739574432373,26.12137198448181,9.5,27.423468232154846,3.5,0.5149662028998137,0.5,6.54296875,4.5,10.692588239908218,4.5,0,0.5
4211520,Pennsylvania,Northeast,Harmony Area School District,360,31.750741600990295,21.943573653697968,11,25,4,1.5367727726697922,2,24.748490750789642,11,7.500000298023224,6.5,1.944444514811039,3.5
4211580,Pennsylvania,Northeast,Harrisburg City School District,8638,40.97340106964111,70.76374292373657,5,26.693814992904663,2.5,2.7290448546409607,1,19.39374953508377,4,10.118082910776138,3,5.60314878821373,3.5
4211610,Pennsylvania,Northeast,Hatboro-Horsham School District,5861,4.765089601278305,24.70134198665619,6,25.363793969154358,2.5,0.9922822937369347,1,1.0450685396790504,1,2.1668657660484314,1,3.0540863052010536,2
4211670,Pennsylvania,Northeast,Haverford Township School District,8226,2.733868919312954,14.570428431034088,3.5,23.254092037677765,1.5,0.5590735469013453,0.5,1.0169491171836853,1,5.604181811213493,1.5,0.3890104591846466,0.5
4211700,Pennsylvania,Northeast,Hazleton Area School District,11147,24.549712240695953,44.450175762176514,5.5,27.30620801448822,1.5,2.1293016150593758,0.5,16.051587462425232,4,7.320355623960495,1.5,9.41060408949852,2.5
4211730,Pennsylvania,Northeast,Saucon Valley School District,2759,7.863894104957581,27.400562167167664,7.5,26.45684778690338,3.5,1.0097871534526348,1,3.0910132452845573,3,4.385646805167198,2.5,0,0.5
4211760,Pennsylvania,Northeast,Hempfield Area School District,5863,8.176519721746445,19.141356647014618,4,31.72948956489563,2,0.618230365216732,0.5,6.226018071174622,2.5,5.560293421149254,2,0,0.5
4211790,Pennsylvania,Northeast,Hempfield School District,7791,6.970944255590439,19.821377098560333,5,24.404288828372955,2,1.429242081940174,0.5,8.123117685317993,4,5.7887304574251175,2,0,0.5
4211820,Pennsylvania,Northeast,Hermitage School District,2003,15.024875104427338,29.16174829006195,9,27.867791056632996,4,0.24872184731066227,0.5,7.525697350502014,4.5,10.484273731708527,4.5,0,1
4211880,Pennsylvania,Northeast,Highlands School District,2994,18.97175908088684,41.55217111110687,8.5,28.530141711235046,2.5,0.3569834865629673,0.5,17.98475533723831,9,7.515030354261398,3.5,0,0.5
4211940,Pennsylvania,Northeast,Hollidaysburg Area School District,3775,10.914454609155655,25.86059868335724,7,34.930312633514404,3,1.2419100850820541,0.5,5.321326106786728,3,5.112582817673683,2,0,0.5
4212030,Pennsylvania,Northeast,Hopewell Area School District,2413,9.275834262371063,27.565082907676697,7.5,27.05535590648651,3,0.5843185354024172,0.5,3.3472802489995956,2,5.346042290329933,2.5,0,0.5
4212090,Pennsylvania,Northeast,Huntingdon Area School District,2391,17.751216888427734,29.619312286376953,9.5,23.46995323896408,2.5,1.8070444464683533,1,17.016609013080597,6,5.646173283457756,2.5,0.167294021230191,1
4212150,Pennsylvania,Northeast,Indiana Area School District,3241,11.674239486455917,22.699175775051117,5.5,34.90486741065979,3,1.0423400439321995,1,9.241154789924622,4,5.121875926852226,3.5,0,0.5
4212170,Pennsylvania,Northeast,Interboro School District,3564,10.721193999052048,37.21291124820709,10,26.83388590812683,3,0.9027854539453983,1,5.4571084678173065,2.5,4.657687991857529,3,0.25252525229007006,0.5
4212210,Pennsylvania,Northeast,Iroquois School District,1201,20.048505067825317,38.98617625236511,12,30.166921019554138,5.5,1.7729287967085838,2,23.146474361419678,13.5,18.15154105424881,8,0,1
4212300,Pennsylvania,Northeast,Jamestown Area School District,621,22.344322502613068,34.13284122943878,10.5,23.618701100349426,3.5,1.4293882064521313,1.5,23.420074582099915,16.5,5.9581320732831955,3,0,1.5
4212330,Pennsylvania,Northeast,Jeannette City School District,1413,26.126879453659058,54.025763273239136,15,37.015196681022644,5,0.22598870564252138,0.5,27.936333417892456,12,16.41896665096283,7.5,0,1
4212390,Pennsylvania,Northeast,Jefferson-Morgan School District,759,11.713933199644089,23.26589524745941,10,21.964359283447266,5,1.5727391466498375,1.5,4.043392464518547,4.5,8.432147651910782,3.5,0,2
4212420,Pennsylvania,Northeast,Jenkintown School District,983,7.297297567129135,22.354212403297424,12,15.171797573566437,5,0,0.5,8.356545865535736,10.5,7.324516773223877,5.5,0,1
4212480,Pennsylvania,Northeast,Jersey Shore Area School District,2791,13.287174701690674,29.122230410575867,10,22.86577969789505,2.5,0.42924596928060055,0.5,12.260127812623978,5,4.6578288078308105,2,0.21497670095413923,0.5
4212540,Pennsylvania,Northeast,Jim Thorpe Area School District,2423,12.825816869735718,35.88151037693024,10,26.442232728004456,4.5,1.9050747156143188,1.5,3.2032985240221024,3.5,8.41931477189064,5.5,1.238134503364563,2
4212570,Pennsylvania,Northeast,Johnsonburg Area School District,581,16.49484485387802,36.711281538009644,16.5,21.432147920131683,4.5,0,0.5,5.8744993060827255,5,8.950085937976837,9.5,0,1.5
4212600,Pennsylvania,Northeast,Juniata County School District,4091,12.895195186138153,24.728021025657654,4,22.981537878513336,2,2.2801658138632774,0.5,19.794532656669617,5.5,3.984355926513672,1,2.908824197947979,2
4212630,Pennsylvania,Northeast,Juniata Valley School District,794,14.684465527534485,21.780821681022644,6,22.667217254638672,2.5,0.19512195140123367,0.5,9.538152813911438,5.5,6.801007688045502,3,0,1.5
4212660,Pennsylvania,Northeast,Kane Area School District,1139,23.613595962524414,43.50220263004303,15.5,20.417335629463196,3.5,0.7611798122525215,1,9.167750179767609,4,11.676909774541855,5,0,1.5
4212690,Pennsylvania,Northeast,Kennett Consolidated School District,4773,9.980582445859909,21.268315613269806,6,21.3392436504364,2.5,2.295183204114437,1,13.95971029996872,5,3.7921641021966934,2,9.155667573213577,4
4212720,Pennsylvania,Northeast,Keystone School District,1325,15.762273967266083,25.94142258167267,7,23.92401248216629,3,1.5988877043128014,1.5,20.483961701393127,4.5,7.471697777509689,2.5,1.6603773459792137,2
4212725,Pennsylvania,Northeast,Keystone Central School District,5652,16.023685038089752,25.444623827934265,4,30.480942130088806,2.5,1.1449572630226612,0,24.290966987609863,4.5,10.191082954406738,2,2.105449326336384,1
4212750,Pennsylvania,Northeast,Keystone Oaks School District,2560,9.457755088806152,33.90612006187439,10,30.598020553588867,2.5,0.25161029770970345,0.5,2.9638074338436127,2,6.367187201976776,3.5,3.984374925494194,4.5
4212840,Pennsylvania,Northeast,Kiski Area School District,4146,12.21122145652771,30.06483018398285,5,26.49284601211548,2.5,0.5402709823101759,0.5,7.92008563876152,3,7.911239564418793,2,0,0.5
4212930,Pennsylvania,Northeast,Kutztown Area School District,1737,10.134048014879227,21.27804160118103,8,37.587159872055054,3.5,1.2836293317377567,1,14.610926806926727,6.5,14.968335628509521,9,3.223949298262596,3.5
4212990,Pennsylvania,Northeast,Lackawanna Trail School District,1127,12.381703406572342,24.182358384132385,6.5,30.425110459327698,2.5,0.3931055311113596,0.5,5.7742781937122345,2.5,8.784383535385132,4,0,1.5
4213020,Pennsylvania,Northeast,Lake-Lehman School District,2052,9.760348498821259,21.75777107477188,6,28.58080565929413,2.5,0.2901023952290416,0.5,6.892738491296768,3,6.042885035276413,3,0,1
4213050,Pennsylvania,Northeast,Lakeland School District,1671,10.086768120527267,32.64490365982056,8,25.306323170661926,3.5,0.9832841344177723,1,4.126100987195969,4,13.584679365158081,7,0,1
4213080,Pennsylvania,Northeast,Lakeview School District,1294,24.65960681438446,26.116839051246643,5,26.58555507659912,2.5,2.4940617382526398,1.5,24.146054685115814,5.5,6.6460587084293365,2,7.4188560247421265,3.5
4213110,Pennsylvania,Northeast,Lampeter-Strasburg School District,3925,6.547475606203079,12.162162363529205,5,29.56256866455078,3.5,0.6817927584052086,0.5,13.916349411010742,4.5,2.445859834551811,1.5,1.4012739062309265,2
4213140,Pennsylvania,Northeast,Lancaster School District,12840,19.990350306034088,54.92096543312073,5,32.361334562301636,2,3.0879687517881393,1,21.38378769159317,4.5,13.0607470870018,2.5,9.742990881204605,3
4213290,Pennsylvania,Northeast,Homer-Center School District,795,13.62559199333191,32.415902614593506,16.5,29.261896014213562,7,1.1279520578682423,1.5,5.015045031905174,4,8.679245412349701,5.5,0,2
4213320,Pennsylvania,Northeast,Laurel Highlands School District,3142,15.74908196926117,45.483988523483276,8.5,27.567389607429504,3.5,1.66324432939291,1,10.055328160524368,6,3.437301144003868,1.5,0,0.5
